,open,high,low,close,volume
2006-09-07,1.2352,1.2462,1.2327,1.2426,0
2006-09-08,1.2423,1.2507,1.2417,1.2466,0
2006-09-11,1.2477,1.2498,1.2397,1.2449,0
2006-09-12,1.245,1.2518,1.2403,1.2514,0
2006-09-13,1.2514,1.255,1.248,1.2495,0
2006-09-14,1.2495,1.2526,1.2436,1.2522,0
2006-09-15,1.2516,1.2622,1.2503,1.2559,0
2006-09-18,1.2566,1.257,1.2498,1.2503,0
2006-09-19,1.2503,1.2572,1.2483,1.2521,0
2006-09-20,1.2521,1.2533,1.2463,1.2511,0
2006-09-21,1.251,1.2542,1.2413,1.2423,0
2006-09-22,1.2423,1.243,1.232,1.2357,0
2006-09-25,1.2353,1.2394,1.2292,1.2386,0
2006-09-26,1.2387,1.2465,1.2367,1.2437,0
2006-09-27,1.2437,1.2473,1.2415,1.244,0
2006-09-28,1.244,1.2488,1.2419,1.2476,0
2006-09-29,1.2475,1.2567,1.2455,1.2505,0
2006-10-02,1.2498,1.2525,1.2405,1.2431,0
2006-10-03,1.2432,1.2466,1.2421,1.2455,0
2006-10-04,1.2454,1.2544,1.2448,1.2482,0
2006-10-05,1.2482,1.2547,1.2478,1.2523,0
2006-10-06,1.2522,1.2633,1.2494,1.26,0
2006-10-09,1.2612,1.262,1.259,1.2619,0
2006-10-10,1.2619,1.2718,1.2599,1.2707,0
2006-10-11,1.2709,1.2744,1.2688,1.2719,0
2006-10-12,1.2719,1.2732,1.2678,1.2682,0
2006-10-13,1.2681,1.2769,1.2664,1.2728,0
2006-10-16,1.274,1.2753,1.2693,1.2702,0
2006-10-17,1.2701,1.2711,1.2639,1.2687,0
2006-10-18,1.2689,1.274,1.2655,1.2699,0
2006-10-19,1.2699,1.2704,1.2549,1.2575,0
2006-10-20,1.2575,1.2602,1.2556,1.2591,0
2006-10-23,1.2579,1.2688,1.2577,1.2667,0
2006-10-24,1.2667,1.2703,1.2644,1.2668,0
2006-10-25,1.2668,1.2673,1.2625,1.2644,0
2006-10-26,1.2642,1.2645,1.2523,1.2545,0
2006-10-27,1.2543,1.257,1.2467,1.2486,0
2006-10-30,1.249,1.2507,1.2471,1.2483,0
2006-10-31,1.2485,1.2528,1.2414,1.2438,0
2006-11-01,1.2439,1.2461,1.2405,1.2454,0
2006-11-02,1.2456,1.2477,1.2429,1.2452,0
2006-11-03,1.2452,1.2569,1.2445,1.2535,0
2006-11-06,1.2534,1.2579,1.2527,1.2555,0
2006-11-07,1.2555,1.2556,1.2439,1.2494,0
2006-11-08,1.2493,1.2522,1.2451,1.251,0
